id,city_name,locality_city,locality_town,area_usable,area_total,rooms,floor_is,floor_max,has_balcony,has_elevator,condition_name,listing_quality_score,locality_gpsPrecisionScore,price_current,other_model_estimated_price,our_model_predicted_price,other_model_error,our_model_error,better_model,prediction_error,prediction_error_pct,offer_type,is_active,date_archived
5426,Nové Zámky,,Nové Zámky,75.0,75.0,3.0,,,b'\x00',b'\x01',Čiastočná rekonštrukcia,0,0.0,120000.0,134324.55,113083.32635985914,14324.549999999988,6916.673640140856,Our Model,-6916.673640140856,-5.76,1,b'\x01',
5427,Nové Mesto nad Váhom,,,64.0,125.06,3.0,1.0,3.0,b'\x01',b'\x00',Novostavba,0,0.0,134640.0,144274.57,147363.53890852875,9634.570000000007,12723.538908528746,Other Model,12723.538908528746,9.45,1,b'\x01',
5428,Nové Mesto nad Váhom,,,46.0,49.66,2.0,1.0,3.0,b'\x01',b'\x01',Novostavba,0,0.0,99800.0,109901.7,128953.24194688682,10101.699999999997,29153.241946886817,Other Model,29153.241946886817,29.21,1,b'\x01',
5430,Brezno,,,64.0,64.0,2.0,5.0,5.0,b'\x00',b'\x01',Čiastočná rekonštrukcia,0,0.0,37000.0,,69208.2239410642,,32208.223941064207,No estimate available,32208.223941064207,87.05,1,b'\x01',
5433,Bratislava,Bratislava,,95.0,95.0,3.0,2.0,,b'\x00',b'\x01',Kompletná rekonštrukcia,0,0.0,509000.0,472466.31,406008.26548745844,36533.69,102991.73451254156,Other Model,-102991.73451254156,-20.23,1,b'\x01',
5447,Trenčín,Trenčín,,81.0,81.0,3.0,1.0,3.0,b'\x00',b'\x01',Novostavba,0,0.0,306430.0,264307.58,201433.4903881099,42122.419999999984,104996.5096118901,Other Model,-104996.5096118901,-34.26,1,b'\x01',
5448,Trenčín,Trenčín,,54.0,54.0,2.0,3.0,3.0,b'\x00',b'\x01',Novostavba,0,0.0,212870.0,165956.0,172143.81242469544,46914.0,40726.18757530456,Our Model,-40726.18757530456,-19.13,1,b'\x01',
5450,Bardejov,,,55.0,56.0,2.0,1.0,,b'\x00',b'\x00',Čiastočná rekonštrukcia,0,0.0,72500.0,,106016.97139595693,,33516.971395956934,No estimate available,33516.971395956934,46.23,1,b'\x01',
5451,Trnava,Trnava,,85.0,85.0,4.0,2.0,2.0,b'\x00',b'\x00',Kompletná rekonštrukcia,0,0.0,329000.0,264544.6,230853.42655994315,64455.40000000002,98146.57344005685,Other Model,-98146.57344005685,-29.83,1,b'\x01',
5454,Bratislava,Bratislava,,62.0,62.0,2.0,2.0,5.0,b'\x00',b'\x01',Kompletná rekonštrukcia,0,0.0,258000.0,322716.28,265454.15993106517,64716.28000000003,7454.159931065165,Our Model,7454.159931065165,2.89,1,b'\x01',
5455,Žilina,Žilina,,48.0,48.0,2.0,3.0,7.0,b'\x00',b'\x00',Novostavba,0,0.0,149000.0,190495.89,178838.78831264836,41495.890000000014,29838.788312648365,Our Model,29838.788312648365,20.03,1,b'\x01',
5458,Dunajská Streda,,Dunajská Streda,50.0,50.0,2.0,3.0,5.0,b'\x00',b'\x00',Vo výstavbe / Projekt,1,1.0,131600.0,92422.27,125767.30208056554,39177.729999999996,5832.69791943446,Our Model,-5832.69791943446,-4.43,1,b'\x01',
5464,Medzilaborce,,Medzilaborce,65.0,71.25,2.0,2.0,4.0,b'\x00',b'\x00',Kompletná rekonštrukcia,0,0.0,49900.0,42180.1,79929.9213956042,7719.9000000000015,30029.921395604193,Other Model,30029.921395604193,60.18,1,b'\x01',
