id,city_name,locality_city,locality_town,price_current
1878,Pezinok,,Modra,169950.0
1879,Žilina,,,175000.0
1880,Bratislava,Bratislava,,324900.0
1881,Trnava,Trnava,,495000.0
1885,Levice,,Šahy,69900.0
1918,Senec,,,259143.0
1938,Dolný Kubín,,Dolný Kubín,153000.0
1940,Senec,,,209760.0
1944,Bratislava,Bratislava,,283000.0
1949,Prešov,Prešov,,265603.0
1950,Spišská Nová Ves,,Spišská Nová Ves,184500.0
1951,Spišská Nová Ves,,Spišská Nová Ves,169125.0
1952,Spišská Nová Ves,,Spišská Nová Ves,251125.0
1961,Piešťany,,Vrbové,159000.0
1966,Pezinok,,Pezinok,199000.0
1969,Nové Zámky,,Nové Zámky,130000.0
1971,Spišská Nová Ves,,,68000.0
1973,Šaľa,,Šaľa,144990.0
1974,Poprad,,Poprad,287000.0
1975,Poprad,,Poprad,275000.0
1976,Poprad,,Poprad,285000.0
1977,Poprad,,Poprad,270000.0
1987,Poprad,,Poprad,180480.0
1989,Trenčín,Trenčín,,129000.0
1990,Trenčín,Trenčín,,159000.0
1995,Nové Zámky,,Nové Zámky,131290.0
1999,Prešov,Prešov,,160000.0
2001,Bratislava,Bratislava,,330000.0
2002,Trnava,,,149900.0
2003,Nové Zámky,,Nové Zámky,110000.0
2004,Kysucké Nové Mesto,,Kysucké Nové Mesto,160000.0
2010,Pezinok,,Pezinok,215000.0
2013,Galanta,,Sládkovičovo,118200.0
2014,Brezno,,,75000.0
2015,Komárno,,Komárno,126711.0
2017,Trenčín,Trenčín,,163000.0
2019,Bratislava,Bratislava,,950000.0
2030,Košice,Košice,,398000.0
2039,Bratislava,Bratislava,,251845.0
2040,Žarnovica,,,51900.0
2042,Pezinok,,Modra,216300.0
2045,Bratislava,Bratislava,,191281.0
2046,Púchov,,,109900.0
2047,Bratislava,Bratislava,,154500.0
2050,Bratislava,Bratislava,,222500.0
2051,Bratislava,Bratislava,,410000.0
2052,Levice,,,55000.0
2058,Bratislava,Bratislava,,780000.0
2059,Košice,Košice,,319990.0
2060,Bratislava,Bratislava,,301800.0
2065,Stará Ľubovňa,,Stará Ľubovňa,175140.0
2066,Stará Ľubovňa,,,181243.0
2069,Dubnica nad Váhom,,Trenčianske Teplice,119000.0
2070,Poprad,,Poprad,250000.0
2079,Dunajská Streda,,,159000.0
2087,Prešov,Prešov,,236820.0
2090,Malacky,,Malacky,172800.0
2094,Bratislava,Bratislava,,365000.0
2097,Prievidza,,Handlová,45000.0
2099,Malacky,,Malacky,149990.0
2102,Dunajská Streda,,Dunajská Streda,196000.0
2106,Žilina,,,172000.0
2107,Piešťany,,Piešťany,148800.0
2109,Galanta,,Galanta,128000.0
2114,Nové Zámky,,Nové Zámky,125000.0
2117,Dunajská Streda,,Dunajská Streda,164000.0
2118,Nové Mesto nad Váhom,,,110610.0
2125,Humenné,,Humenné,139900.0
2129,Nitra,,Štúrovo,170000.0
2130,Humenné,,Humenné,169900.0
2133,Dunajská Streda,,,177000.0
2134,Bratislava,Bratislava,,150000.0
2140,Trnava,,,129700.0
2142,Bratislava,,,309000.0
2145,Humenné,,Humenné,179900.0
2146,Bratislava,,Stupava,284000.0
2148,Malacky,,,163990.0
2149,Banská Bystrica,Banská Bystrica,,267000.0
2150,Galanta,,Sládkovičovo,179000.0
2152,Martin,,Vrútky,129900.0
2153,Bratislava,,Šamorín,191201.0
2155,Bratislava,Bratislava,,1195000.0
2156,Brezno,,,220000.0
2167,Bratislava,Bratislava,,181900.0
2168,Bratislava,Bratislava,,279000.0
2170,Piešťany,,Vrbové,229500.0
2171,Prievidza,,Bojnice,267000.0
2172,Prievidza,,Bojnice,219000.0
2185,Bratislava,Bratislava,,375000.0
2187,Brezno,,,199000.0
2194,Revúca,,Revúca,32000.0
2196,Galanta,,Sereď,117700.0
2197,Bratislava,Bratislava,,439000.0
2208,Bratislava,,,258000.0
2211,Nové Zámky,,Nové Zámky,195000.0
2212,Bratislava,Bratislava,,455000.0
2216,Košice,Košice,,314019.0
2217,Dunajská Streda,,Dunajská Streda,187600.0
2220,Galanta,,Galanta,135000.0
2221,Dunajská Streda,,Dunajská Streda,134900.0
2224,Bratislava,Bratislava,,322500.0
2230,Banská Bystrica,Banská Bystrica,,282000.0
2232,Nitra,Nitra,,147000.0
2233,Trebišov,,,91080.0
2247,Piešťany,,Piešťany,148000.0
2248,Michalovce,,Michalovce,135000.0
2253,Dunajská Streda,,Dunajská Streda,162360.0
2260,Levice,,Šahy,79900.0
2261,Bratislava,Bratislava,,225000.0
2263,Bratislava,Bratislava,,224980.0
2264,Nitra,,,124760.0
2265,Bratislava,Bratislava,,373990.0
2266,Bratislava,Bratislava,,339000.0
2268,Kežmarok,,Vysoké Tatry,849170.0
2278,Bratislava,Bratislava,,319900.0
2283,Galanta,,Galanta,147390.0
2286,Žarnovica,,Nová Baňa,109500.0
2291,Žiar nad Hronom,,Žiar nad Hronom,61000.0
2299,Košice,,,176900.0
2300,Snina,,Snina,65000.0
2301,Bratislava,,Stupava,237622.0
2302,Dunajská Streda,,Veľký Meder,86000.0
2303,Dunajská Streda,,Veľký Meder,99000.0
2305,Skalica,,Holíč,103000.0
2307,Stropkov,,Giraltovce,81900.0
2311,Kežmarok,,,185000.0
2312,Galanta,,Sereď,110000.0
2316,Brezno,,,179000.0
2320,Hlohovec,,,299900.0
2323,Detva,,Hriňová,89990.0
2324,Galanta,,,150000.0
2325,Humenné,,Strážske,78990.0
2326,Humenné,,Strážske,94990.0
2327,Galanta,,,120000.0
2330,Poprad,,,279000.0
2332,Poprad,,,198700.0
2333,Poprad,,,165000.0
2334,Piešťany,,,209900.0
2339,Trnava,,,132800.0
2340,Piešťany,,,173900.0
2342,Galanta,,,119000.0
2349,Bratislava,Bratislava,,399900.0
2351,Senec,,,189760.0
2365,Bánovce nad Bebravou,,Bánovce nad Bebravou,117000.0
2368,Senec,,,229000.0
2376,Dolný Kubín,,Dolný Kubín,105000.0
2378,Galanta,,Galanta,299000.0
2386,Zlaté Moravce,,Vráble,117900.0
2387,Poprad,,,499000.0
2393,Bánovce nad Bebravou,,Bánovce nad Bebravou,117000.0
2404,Dubnica nad Váhom,,Trenčianske Teplice,199900.0
2405,Dolný Kubín,,Dolný Kubín,225650.0
2407,Ilava,,Ilava,149900.0
2417,Poprad,,,262248.0
2419,Trnava,,,144700.0
2421,Nitra,,Vráble,152900.0
2422,Nitra,,Vráble,121900.0
2455,Piešťany,,,237300.0
2458,Bratislava,Bratislava,,409900.0
2461,Bratislava,Bratislava,,420000.0
2462,Humenné,,Humenné,199900.0
2466,Prievidza,,Bojnice,209000.0
2478,Bratislava,Bratislava,,530660.0
2479,Košice,Košice,,190000.0
2488,Brezno,,Brezno,289500.0
2489,Žilina,Žilina,,319500.0
2496,Bratislava,Bratislava,,1120640.0
2504,Nitra,Nitra,,149990.0
2537,Bánovce nad Bebravou,,Bánovce nad Bebravou,70000.0
2542,Pezinok,,Modra,180250.0
2545,Senec,,,268865.0
2546,Senec,,,196412.0
2547,Bratislava,Bratislava,,385000.0
2548,Prievidza,,Prievidza,182000.0
2557,Galanta,,Galanta,267900.0
2561,Trnava,Trnava,,349000.0
2564,Poprad,,,199000.0
2566,Levice,,Levice,116000.0
2570,Bratislava,Bratislava,,799990.0
2572,Trenčín,Trenčín,,119900.0
2587,Skalica,,Holíč,85900.0
2588,Námestovo,,,150000.0
2591,Trenčín,Trenčín,,299000.0
2592,Púchov,,Púchov,236452.0
2593,Púchov,,Púchov,184261.0
2594,Bratislava,Bratislava,,255000.0
